Pennsylvania Energy Consumption Estimates 2016,
https://www.eia.gov/state/?sid=PA#tabs-1,
12:38:34 GMT-0400 (Eastern Daylight Time),
Source: Energy Information Administration, State Energy Data System
Category,Pennsylvania Energy Consumption Estimates Trillion Btu
Coal,734.8
Natural Gas,1354.3
Motor Gasoline excl. Ethanol,556.1
Distillate Fuel Oil,326.7
Jet Fuel,69.2
HGL,46.5
Residual Fuel,3.5
Other Petroleum,143.1
Nuclear Electric Power,867.3
Hydroelectric Power,21.9
Biomass,150.4
Other Renewables,38.3
Net Electricity Imports,1.1
